listing_id,building_id,apartment_number,list_price,list_date
221,51,11B,1885000,2016-08-10 00:00:00 -0400
222,51,38A,3070000,2016-03-31 00:00:00 -0400
223,51,PH7,6995000,2017-02-24 00:00:00 -0500
224,51,34B,2140000,2016-03-31 00:00:00 -0400
225,51,21A,1955000,2016-03-31 00:00:00 -0400
226,51,PH3,7525000,2016-03-30 00:00:00 -0400
227,51,16A,1930000,2017-02-07 00:00:00 -0500
228,51,39A,3115000,2017-10-02 00:00:00 -0400
229,51,39B,2240000,2016-03-30 00:00:00 -0400
230,51,38B,2220000,2016-03-31 00:00:00 -0400
231,51,23A,1965000,2016-03-31 00:00:00 -0400
232,51,8B,1735000,2016-03-31 00:00:00 -0400
233,51,DUPLEX42,4500000,2016-10-26 00:00:00 -0400
234,51,11A,1675000,2017-06-19 00:00:00 -0400
235,51,22B,1920000,2016-03-31 00:00:00 -0400
236,51,14A,3250000,2017-12-28 00:00:00 -0500
237,51,35B,2160000,2016-03-31 00:00:00 -0400
238,51,15C,1520000,2016-11-16 00:00:00 -0500
239,51,PH6,7070000,2017-04-27 00:00:00 -0400
240,51,37A,3025000,2017-07-06 00:00:00 -0400
241,51,17B,1820000,2016-03-31 00:00:00 -0400
242,51,35A,2935000,2016-12-29 00:00:00 -0500
243,51,12A,1700000,2016-03-31 00:00:00 -0400
244,51,DUPLEX46,4600000,2017-02-03 00:00:00 -0500
245,51,26C,1680000,2016-11-16 00:00:00 -0500
246,51,18C,1580000,2017-06-27 00:00:00 -0400
247,51,21C,1620000,2017-12-12 00:00:00 -0500
248,51,19A,1945000,2016-03-31 00:00:00 -0400
249,51,40B,2260000,2016-03-30 00:00:00 -0400
250,51,16B,1800000,2016-03-31 00:00:00 -0400
251,51,19B,1860000,2016-05-18 00:00:00 -0400
252,51,19C,1600000,2017-07-06 00:00:00 -0400
253,51,DUPLEX48,4650000,2017-02-03 00:00:00 -0500
254,51,21B,1900000,2016-03-31 00:00:00 -0400
255,51,20B,1880000,2016-05-19 00:00:00 -0400
256,51,26A,1985000,2016-03-31 00:00:00 -0400
257,51,18A,1940000,2016-03-31 00:00:00 -0400
258,51,36A,2980000,2016-03-31 00:00:00 -0400
259,51,32B,2100000,2016-08-08 00:00:00 -0400
260,51,36B,2180000,2016-03-31 00:00:00 -0400
261,51,32A,2800000,2016-08-08 00:00:00 -0400
262,51,15A,1925000,2016-11-16 00:00:00 -0500
263,51,11C,1325000,2016-03-31 00:00:00 -0400
264,51,37B,2200000,2016-03-31 00:00:00 -0400
265,51,DUPLEX44,4550000,2016-03-30 00:00:00 -0400
266,51,20A,1950000,2016-03-31 00:00:00 -0400
267,51,9A,1625000,2016-03-31 00:00:00 -0400
268,51,33A,2845000,2016-03-31 00:00:00 -0400
269,51,22A,1960000,2016-03-31 00:00:00 -0400
270,51,25B,1980000,2016-05-20 00:00:00 -0400
271,51,9C,1255000,2016-06-01 00:00:00 -0400
272,91,31E,1970000,2014-10-13 00:00:00 -0400
273,91,DUPLEX10,1643000,2014-10-30 00:00:00 -0400
274,91,8A,1475000,2018-06-06 00:00:00 -0400
275,91,7E,1950000,2015-03-17 00:00:00 -0400
276,91,7H,1590000,2016-12-12 00:00:00 -0500
277,91,9E,1895000,2015-04-08 00:00:00 -0400
278,91,46I,1865000,2015-04-08 00:00:00 -0400
279,91,26D,999000,2016-04-25 14:29:54 -0400
280,91,40C,1335000,2017-02-24 00:00:00 -0500
281,91,29F,1195000,2017-11-08 00:00:00 -0500
282,91,26E,1880000,2018-07-05 00:00:00 -0400
283,91,9B,1115000,2015-03-17 00:00:00 -0400
284,91,30C,1295000,2016-04-25 14:42:03 -0400
285,91,46J,1660000,2017-09-12 00:00:00 -0400
286,91,39D,1125000,2017-10-18 00:00:00 -0400
287,91,41K,1650000,2014-11-15 00:00:00 -0500
288,91,30-C,1355000,2017-10-12 00:00:00 -0400
289,91,38I,1980000,2015-03-20 00:00:00 -0400
290,91,10H,1690000,2015-04-08 00:00:00 -0400
291,91,30E,2350000,2016-02-08 00:00:00 -0500
292,91,22D,1142000,2015-10-03 00:00:00 -0400
293,91,21E,2070000,2015-03-17 00:00:00 -0400
294,91,39I,1885000,2017-11-08 00:00:00 -0500
295,91,11C,950000,2014-09-15 00:00:00 -0400
296,91,20E,1790000,2014-09-15 00:00:00 -0400
297,91,27D,930000,2014-09-15 00:00:00 -0400
298,91,33D,1075000,2017-09-12 00:00:00 -0400
299,91,38F,1335000,2015-04-08 00:00:00 -0400
300,91,DUPLEX4,1840000,2015-10-08 00:00:00 -0400
301,91,44K,1750000,2016-11-02 00:00:00 -0400
302,91,22G,960000,2014-11-03 00:00:00 -0500
303,91,DUPLEX9,1500000,2017-08-15 00:00:00 -0400
304,91,22E,1915000,2018-01-08 00:00:00 -0500
305,91,22F,1137000,2014-12-22 00:00:00 -0500
306,91,19E,2156000,2017-06-13 00:00:00 -0400
307,91,8B,1085000,2017-07-05 00:00:00 -0400
308,91,24A,1875000,2015-04-08 00:00:00 -0400
309,91,40E,2200000,2017-05-18 00:00:00 -0400
310,91,44A,2155000,2017-04-12 00:00:00 -0400
311,91,25D,1150000,2015-04-08 00:00:00 -0400
312,91,27A,2059000,2015-04-08 00:00:00 -0400
313,91,37A,2325000,2015-10-08 00:00:00 -0400
314,91,41L,2750000,2016-05-04 00:00:00 -0400
315,91,43L,2699000,2016-08-01 00:00:00 -0400
316,91,34-D,1110000,2015-03-19 00:00:00 -0400
317,91,DUPLEX1,1335000,2016-10-24 00:00:00 -0400
318,91,9A,1625000,2016-07-11 00:00:00 -0400
319,91,39F,1345000,2015-04-08 00:00:00 -0400
320,91,7B,1075000,2015-04-08 00:00:00 -0400
321,91,17A,1715000,2015-04-08 00:00:00 -0400
322,91,17F,1145000,2016-12-19 00:00:00 -0500
323,91,10A,1645000,2016-11-29 00:00:00 -0500
324,91,11F,1095000,2015-04-08 00:00:00 -0400
325,91,15F,1155000,2017-03-13 00:00:00 -0400
326,91,26A,1995000,2015-04-08 00:00:00 -0400
327,91,46B,1420000,2015-04-08 00:00:00 -0400
328,91,17E,1895000,2015-04-08 00:00:00 -0400
329,91,32D,1050000,2017-02-15 00:00:00 -0500
330,91,19A,1740000,2015-04-08 00:00:00 -0400
331,91,22H,1765000,2015-04-08 00:00:00 -0400
332,91,38C,1600000,2014-01-13 00:00:00 -0500
333,91,33B,1305000,2017-06-23 00:00:00 -0400
334,91,44J,1605000,2017-02-15 00:00:00 -0500
335,91,D7,1395000,2017-06-23 00:00:00 -0400
336,91,14-C,1199000,2017-03-08 00:00:00 -0500
337,91,8F,1070000,2015-04-08 00:00:00 -0400
338,91,12E,1999500,2015-04-08 00:00:00 -0400
339,91,45J,1535000,2018-07-31 00:00:00 -0400
340,91,D8,1645000,2014-10-09 00:00:00 -0400
341,91,28B,1297500,2016-07-11 00:00:00 -0400
342,91,35F,1375000,2015-04-08 00:00:00 -0400
343,91,14G,1060000,2017-02-15 00:00:00 -0500
344,91,12F,1143000,2015-04-08 00:00:00 -0400
345,91,21A,1940000,2015-04-08 00:00:00 -0400
346,91,33F,1325000,2015-04-08 00:00:00 -0400
347,91,9G,1106000,2015-11-17 00:00:00 -0500
348,91,11A,1710000,2016-04-20 00:00:00 -0400
349,91,12A,1715000,2016-02-03 00:00:00 -0500
350,91,12C,1215000,2015-04-08 00:00:00 -0400
351,91,14F,1149000,2016-06-07 00:00:00 -0400
352,91,14H,1715000,2016-06-20 00:00:00 -0400
353,91,35A,2100000,2016-07-08 00:00:00 -0400
354,91,23A,1970000,2015-04-08 00:00:00 -0400
355,91,31B,1300000,2015-04-08 00:00:00 -0400
356,91,37F,1375000,2016-07-11 00:00:00 -0400
357,91,37I,1875000,2016-07-11 00:00:00 -0400
358,91,42L,2590000,2014-09-13 00:00:00 -0400
359,91,11H,1635000,2016-09-28 00:00:00 -0400
360,91,46A,3340000,2016-10-07 00:00:00 -0400
361,91,45K,1699000,2016-07-08 00:00:00 -0400
362,91,45C,1385000,2016-10-24 00:00:00 -0400
363,91,29E,2060000,2017-11-13 00:00:00 -0500
364,91,41C,1350000,2017-02-15 00:00:00 -0500
365,91,38D,1085000,2017-09-19 00:00:00 -0400
366,91,35I,1835000,2016-12-22 00:00:00 -0500
367,91,41B,1355000,2017-08-07 00:00:00 -0400
368,91,9H,1665000,2015-04-08 00:00:00 -0400
369,91,DUPLEX2,1575000,2016-05-04 00:00:00 -0400
370,91,DUPLEX5,2315000,2014-11-07 00:00:00 -0500
371,91,DUPLEX6,1545000,2014-11-07 00:00:00 -0500
372,91,9F,1116500,2016-04-08 00:00:00 -0400
373,91,11G,1115000,2015-04-08 00:00:00 -0400
374,91,40I,1805000,2018-08-28 00:00:00 -0400
375,91,27B,1350000,2016-10-13 00:00:00 -0400
376,91,30B,1200000,2017-04-03 00:00:00 -0400
377,91,16F,1017500,2015-01-08 00:00:00 -0500
378,91,42C,1325000,2016-11-02 00:00:00 -0400
379,91,31G,1245000,2018-07-05 00:00:00 -0400
380,91,38A,2159000,2016-09-26 00:00:00 -0400
381,91,43K,1805400,2015-03-20 00:00:00 -0400
382,91,17H,1690000,2018-03-22 00:00:00 -0400
383,91,29A,1975000,2017-06-23 00:00:00 -0400
384,91,24H,1700000,2018-06-06 00:00:00 -0400
385,91,PH-2,3800000,2017-10-30 00:00:00 -0400
386,91,PH2,3250000,2017-10-25 12:26:34 -0400
387,91,16F,1175000,2017-10-20 00:00:00 -0400
388,91,25A,1950000,2016-09-15 00:00:00 -0400
389,91,38G,1225000,2018-06-06 00:00:00 -0400
390,91,7D,856000,2014-11-07 00:00:00 -0500
391,91,41A,2140000,2017-02-23 00:00:00 -0500
392,91,44L,2715000,2017-04-28 00:00:00 -0400
393,91,40B,1365000,2016-10-24 00:00:00 -0400
394,91,28A,1975000,2017-03-28 00:00:00 -0400
395,91,23G,1175000,2017-05-10 00:00:00 -0400
396,91,10-B,1095000,2018-07-17 00:00:00 -0400
397,91,29I,1795000,2017-04-06 00:00:00 -0400
398,91,32-C,975000,2018-02-09 00:00:00 -0500
399,91,42K,1975000,2016-11-01 00:00:00 -0400
400,91,32E,2462000,2017-06-21 00:00:00 -0400
401,91,46L,2525000,2018-06-06 00:00:00 -0400
402,91,42C,1255000,2014-09-15 00:00:00 -0400
403,91,45A,2155000,2014-09-15 00:00:00 -0400
404,91,45J,1555000,2014-09-15 00:00:00 -0400
405,91,D3,1420000,2014-09-15 00:00:00 -0400
406,91,7F,1006500,2014-10-30 00:00:00 -0400
407,91,8C,1165000,2015-03-19 00:00:00 -0400
408,91,8G,870000,2014-09-15 00:00:00 -0400
409,91,9C,1173000,2015-03-19 00:00:00 -0400
410,91,10G,880000,2014-10-09 00:00:00 -0400
411,91,10E,1820000,2015-02-05 00:00:00 -0500
412,91,10F,1035000,2015-02-05 00:00:00 -0500
413,91,12H,1695000,2014-10-09 00:00:00 -0400
414,91,14A,1640000,2014-11-13 00:00:00 -0500
415,91,14D,985000,2015-02-05 00:00:00 -0500
416,91,14E,1864000,2014-10-09 00:00:00 -0400
417,91,15C,1219000,2015-03-19 00:00:00 -0400
418,91,15G,990000,2015-01-08 00:00:00 -0500
419,91,16E,1895000,2015-03-17 00:00:00 -0400
420,91,16H,1730000,2014-11-13 00:00:00 -0500
421,91,18F,1056000,2014-12-22 00:00:00 -0500
422,91,18H,1745000,2014-09-15 00:00:00 -0400
423,91,20F,1096000,2014-12-22 00:00:00 -0500
424,91,21C,1128500,2014-10-09 00:00:00 -0400
425,91,21H,1790000,2014-09-15 00:00:00 -0400
426,91,23B,1235000,2015-03-17 00:00:00 -0400
427,91,23H,1825000,2015-03-27 00:00:00 -0400
428,91,25H,1991000,2015-04-08 00:00:00 -0400
429,91,26B,1198000,2014-10-30 00:00:00 -0400
430,91,27E,2045000,2015-02-05 00:00:00 -0500
431,91,27G,1160000,2014-12-22 00:00:00 -0500
432,91,30I,1855000,2014-11-13 00:00:00 -0500
433,91,31A,1905000,2015-02-05 00:00:00 -0500
434,91,31D,1100000,2015-03-20 00:00:00 -0400
435,91,31I,1870000,2014-09-15 00:00:00 -0400
436,91,32A,1980000,2015-03-19 00:00:00 -0400
437,91,32I,1940000,2015-08-05 00:00:00 -0400
438,91,33A,1938000,2014-10-30 00:00:00 -0400
439,91,34I,2000000,2015-08-31 00:00:00 -0400
440,91,37E,2600000,2015-10-19 00:00:00 -0400
441,91,25C,1225000,2017-10-19 08:58:31 -0400
442,91,30F,1275000,2015-09-04 00:00:00 -0400
443,91,15H,1695000,2017-06-23 00:00:00 -0400
444,91,46C,1360000,2018-01-08 00:00:00 -0500
445,91,19H,1932000,2015-04-08 00:00:00 -0400
446,91,18E,1895000,2018-01-08 00:00:00 -0500
447,91,21-G,975000,2014-03-26 00:00:00 -0400
448,91,36A,1945000,2014-10-09 00:00:00 -0400
449,91,35D,1120000,2015-02-05 00:00:00 -0500
450,91,36G,1100000,2014-10-09 00:00:00 -0400
451,91,43J,1595000,2014-10-30 00:00:00 -0400
452,91,35G,1199000,2014-10-30 00:00:00 -0400
453,91,42J,1632000,2015-03-17 00:00:00 -0400
454,91,46K,1750000,2015-04-08 00:00:00 -0400
455,91,37B,1345000,2017-09-12 00:00:00 -0400
456,91,44C,1345000,2017-09-08 00:00:00 -0400
457,91,43C,1355000,2017-06-23 00:00:00 -0400
458,95,1E,519000,2016-01-20 13:29:15 -0500
459,95,7A,750000,2015-08-27 00:00:00 -0400
460,95,4M,735000,2014-03-13 11:27:35 -0400
461,95,2E,499000,2014-06-16 00:00:00 -0400
462,95,3-B,1050000,2015-06-06 00:00:00 -0400
463,95,6L,800000,2015-08-05 00:00:00 -0400
464,95,12E,625000,2017-07-04 00:00:00 -0400
465,95,6-L,1195000,2017-02-06 00:00:00 -0500
466,95,10D,895000,2016-02-17 00:00:00 -0500
467,95,1C,450000,2015-04-23 00:00:00 -0400
468,95,12-B,798800,2016-04-02 00:00:00 -0400
469,95,7E,649000,2018-03-06 14:17:14 -0500
470,95,7E,519000,2015-05-13 14:34:16 -0400
471,95,4-M,880000,2018-03-22 00:00:00 -0400
472,95,4A,879995,2016-08-28 16:41:06 -0400
473,95,M-E,499000,2015-10-10 13:12:47 -0400
474,95,5-E,499000,2015-08-28 00:00:00 -0400
475,95,4C,799000,2016-02-13 00:00:00 -0500
476,95,12C,1150000,2014-03-03 00:00:00 -0500
477,95,9A,674000,2014-04-29 16:51:28 -0400
478,95,8B,1195000,2014-06-12 00:00:00 -0400
479,95,10G,895000,2018-03-08 00:00:00 -0500
480,95,11F,675000,2017-06-07 14:45:05 -0400
481,95,8J,895000,2018-03-02 00:00:00 -0500
482,95,Unit 8E,589000,2018-08-06 11:39:42 -0400
483,100,4J,795000,2014-09-11 00:00:00 -0400
484,100,20E,499000,2014-01-13 00:00:00 -0500
485,100,6D,750000,2015-04-27 00:00:00 -0400
486,100,23A,1700000,2016-02-02 00:00:00 -0500
487,100,17-E,549000,2016-06-15 00:00:00 -0400
488,100,9G,595000,2017-03-29 00:00:00 -0400
489,100,4-M,550000,2016-10-13 00:00:00 -0400
490,100,11H,569000,2016-03-07 00:00:00 -0500
491,100,3L,795000,2016-12-07 00:00:00 -0500
492,100,7E,695000,2017-05-03 00:00:00 -0400
493,100,17C,1322000,2017-04-07 00:00:00 -0400
494,100,20H,495000,2017-01-05 00:00:00 -0500
495,100,10B,495000,2017-01-12 00:00:00 -0500
496,100,15E,750000,2018-03-20 00:00:00 -0400
